Event Title,Event Date,Event Location,Event Type,Poets,Event Summary,Event Original Title
Léopold Sédar Senghor visits the Queen of England,1961-10-28,United Kingdom. England. London.,Political,"Senghor, Léopold Sédar",President Senghor of Senegal visited London to speak with the Queen of England in October of 1961.  ,Léopold Sédar Senghor visits the Queen of England
Malagasy Army destroys dojo,1985,East Africa. Madagascar.,Political,"Rabearivelo, Jean-Joseph","In 1985 in Madagascar, there was a rumor that an armoured division of the Malagasy Army had been called in to destroy the dojo of an intransigent karate sect which had been terrorizing peaceable tourists.",Malagasy Army destroys dojo
Marriage to Mary Garman,1924,United Kingdom. England. London.,Personal,"Campbell, Roy","Mary Garman married South African poet Roy Campbell in 1924 in London, England.",Marriage to Mary Garman
Nigerian Civil War,1967-07-06,West Africa. Nigeria. Republic of Biafra.,Political,"Okigbo, Christopher
Soyinka, Wole
Clark, John Pepper
Achebe, Chinua","The Nigerian Civil War (also known as the Biafran War and the Nigerian-Biafran War) was a civil war in Nigeria fought between the government of Nigeria and the secessionist state of Biafra from 6 July 1967 to 15 January 1970. Biafra represented nationalist aspirations of the Igbo people, whose leadership felt they could no longer coexist with the Northern-dominated federal government. 

https://en.wikipedia.org/wiki/Nigerian_Civil_War",Nigerian Civil War
Nigerian Election 2011,2011,West Africa. Nigeria. Lagos.,Political,"Soyinka, Wole","Parliamentary elections were held in Nigeria on 9 April 2011. The incumbent People's Democratic Party was running against the Action Congress of Nigeria and the Congress for Progressive Change. 

https://en.wikipedia.org/wiki/2011_Nigerian_parliamentary_election

",Nigerian Election 2011
Nobel Prize for Literature awarded to Wole Soyinka,1986,West Africa. Nigeria.,Professional,"Soyinka, Wole","The main literary award winners of 1986 were as follows: the Nobel Prize for Literature, Wole Soyinka of Nigeria; the Booker Prize, Kingsley Amis; the Prix Goncourt, Michel Host; the Ritz Paris Hemingway Award, Marguerite Duras.",Nobel Prize for Literature awarded to Wole Soyinka
"Performance of ""Death and the King's Horseman"" at the National Theatre, April 2009",2009-04-04,United Kingdom. England. London.,Professional,"Soyinka, Wole","On April 4. 2009, Wole Soyinka's play ""Death and the King's Horseman"" was performed at the Natioanl Theatre in London. The 1975 drama tells the story of Elesin, the horseman of a local chief in Oyo, Nigeria, who, when his chief dies, is supposed to follow him into the afterlife.","Performance of ""Death and the King's Horseman"" at the National Theatre"
"Performance of ""Death and the King's Horseman"" at the National Theatre, March 2009",2009-03-28,United Kingdom. England. London.,Professional,"Soyinka, Wole","On March 28, 2009, Wole Soyinka's play ""Death and the King's Horseman"" was performed at the Natioanl Theatre in London. The 1975 drama tells the story of Elesin, the horseman of a local chief in Oyo, Nigeria, who, when his chief dies, is supposed to follow him into the afterlife.","Performance of ""Death and the King's Horseman"" at the National Theatre"
"Performance of ""The Invention"" by Wole Soyinka.",1959-11-01,United Kingdom. England. London.,Professional,"Soyinka, Wole","On November 1, 1959, Wole Soyinka's play ""The Invention"" was performed at the Royal Court in London. ","Performance of ""The Invention"" by Wole Soyinka."
"Performance of ""The Lion and the Jewel"" by Wole Soyinka on the BBC Third Programme.",1966-05,United Kingdom. England. London.,Professional,"Soyinka, Wole","In May 1966, Wole Soyinka's play ""The Lion and the Jewel"" was featured on the BBC Third Programme. ","Performance of ""The Lion and the Jewel"" by Wole Soyinka on the BBC Third Programme."
"Performance of ""The Lion and the Jewel"" by Wole Soyinka.",1966-12-12,United Kingdom. England. London.,Professional,"Soyinka, Wole","On December 12, 1966, Wole Soyinka's play ""The Lion and the Jewel"" was performed at the Royal Court Theatre in London. The play's opening was delayed due to illness, with its original opening date December 8. ","Performance of ""The Lion and the Jewel"" by Wole Soyinka."
"Performance of ""The Road"" by Wole Soyinka",1965-09-13,United Kingdom. England. London.,Professional,"Soyinka, Wole","On September 13, 1965, the Negro Theatre Workshop presented a special charity preview of ""The Road"" by Wole Soyinka at Theatre Royal, Stratford East. ","Performance of ""The Road"" by Wole Soyinka"
"Performance of ""The Trials of Brother Jero"" at the Hampstead Theatre Club.",1966-06-29,United Kingdom. England. London.,Professional,"Soyinka, Wole","On June 29, 1966, Wole Soyinka's play ""The Trials of Brother Jero"" was performed at the Hampstead Theatre Club in London by an African company from the Transcription Centre Theatre Workshop.","Performance of ""The Trials of Brother Jero"" at the Hampstead Theatre Club."
Poetry International,1973-06-25,United Kingdom. England. London. Queen Elizabeth Hall.,Professional,"Mtshali, Oswald Joseph","The sixth Poetry International occurred from June 25 to June 30 1973. It was divided between the Queen Elizabeth Hall and the Institute of Contemporary Arts. Poetry International at the time had presented more than 50 poets from 19 countries, and in 1973 year it had its first South African, Oswald Mtshali. ",Poetry International
Population Registration Act,1950,Southern Africa. South Africa. Cape Town.,Political,"Small, Adam","The Population Registration Act of 1950 required that each inhabitant of South Africa be classified and registered in accordance with his or her racial characteristics as part of the system of apartheid.

https://en.wikipedia.org/wiki/Population_Registration_Act,_1950",Population Registration Act
Protest Demonstration at Ibadan University,1965-10-18,West Africa. Nigeria. Ibadan.,Political,"Soyinka, Wole","On October 18, 1965, a class occurred between police and undergraduates at Ibadan University in Nigeria. The protest demonstration at Ibadan University was in response to the the outcome of the regional elections. In Lagos market, women were dispersed by police with tear gas while on a protest march to the Prime Minister's residence. Police in Ibadan declared Mr. Wole Soyinka, a Nigerian playwright and poet, to be a wanted person. ",Protest Demonstration at Ibadan University
Protest on behalf of Wole Soyinka's arrest,1968-11-27,United Kingdom. England. London.,Political,"Soyinka, Wole","On November 27, 1968, following Wole Soyinka's arrest in 1967, a group of demonstrators with ""Free Soyinka"" banners protested his imprisonment outside of the Mercury in London.",Protest on behalf of Wole Soyinka's arrest
"Protests in Nigeria, 2010",2010-01-13,West Africa. Nigeria.,Political,"Soyinka, Wole","On January 13, 2010, Wole Soyinka joined a group of protestors in Nigeria in Abuja. ","Protests in Nigeria, 2010"
Rabearivelo's suicide,1937,Southeast Africa. Madagascar.,Personal,"Rabearivelo, Jean-Joseph","In 1937, Jean-Joseph Rabearivelo, Malagasy and French poet, completed suicide. ",Rabearivelo's suicide
Release of Breyten Breytenbach,1982,Southern Africa. South Africa. Johannesburg.,Political,"Breytenbach, Breyten","In 1982, Breyten Breytenbach, South African Afrikaans poet, was released from prison after serving seven of the nine years to which he was sentenced in 1975 for promoting the aims of the banned African National Congress (ANC). 
",Release of Breyten Breytenbach
Release of Wole Soyinka,1969-10-09,West Africa. Nigeria. Lagos.,Political,"Soyinka, Wole","On October 9, 1969, Wole Soyinka, the Nigerian playwright, was released from prison following his arrest and imprisonment for meeting with the military governor from the seceded Biafra in 1966. ",Release of Wole Soyinka
Retirement of Léopold Sédar Senghor,1980-12-31,West Africa. Senegal. Dakar.,Political,"Senghor, Léopold Sédar","President Leopold Sedar Senghor, 74, of Senegal stepped down on December 31, 1980, after 20 years in office. He was replaced by Mr. Abdou Diouf, who had been his Prime Minister for the past 10 years.",Retirement of Léopold Sédar Senghor
"Royal Colonial Institute, Meeting",1918-01-23,United Kingdom. England. London.,Social,"Gouldsbury, Cullen
Cripps, Arthur Shearley","On January 23, 1918, a meeting of the Royal Colonial Institute occurred wherein Sir Herbert Warren read a paper on overseas poetry, including that of Cullen Gouldsbury and Rev. Arthur Shearley Cripps. ","Royal Colonial Institute, Meeting"
Secession of Biafra,1967-05-01,West Africa. Nigeria. Republic of Biafra.,Political,"Soyinka, Wole
Achebe, Chinua","Biafra, officially the Republic of Biafra, was a state in West Africa that existed from May 1967 to January 1970. It was made up of the states in the Eastern Region of Nigeria. Biafra's declaration of independence from Nigeria resulted in civil war between Biafra and Nigeria.

https://en.wikipedia.org/wiki/Biafra",Secession of Biafra
Sharpeville Massacre,1960-03-21,Southern Africa. South Africa. Vereeniging. Sharpeville.,Political,"Ranaivo, Flavien
Rabearivelo, Jean-Joseph
Rabemananjara, Jacques","The Sharpeville massacre occurred on March 21, 1960, at the police station in the South African township of Sharpeville in Transvaal. After a day of demonstrations against ""pass laws,"" a crowd of about 7,000 protesters went to the police station. The South African Police opened fire on the crowd, killing 69 people and injuring 180 others

https://en.wikipedia.org/wiki/Sharpeville_massacre",Sharpeville Massacre
South Africa expelled from Olympics Games,1970-05-15,Europe. Netherlands. Amsterdam.,Political,"Brutus, Dennis","South Africa were expelled from the Olympic movement on May 15 1970 of the International Olympic Committee congress on grounds of discriminatory processes in athletics. The voting was 35 for withdrawing recognition to 28 against, with three absentions. The president of SANROC, Dennis Brutus welcomed the decision. ",South Africa expelled from Olympics
South African Truth and Reconciliation Commission,1995,Southern Africa. South Africa.,Political,"Krog, Antjie","The Truth and Reconciliation Commission (TRC) was a court-like restorative justice body assembled in South Africa after the end of apartheid in 1995. Witnesses who were identified as victims of gross human rights violations were invited to give statements about their experiences, and some were selected for public hearings. Perpetrators of violence could also give testimony and request amnesty from both civil and criminal prosecution.

https://en.wikipedia.org/wiki/Truth_and_Reconciliation_Commission_(South_Africa)
",South African Truth and Reconciliation Commission
