Source,Source Title,Source Publication Date,Source Page Number,Source Link,Source Access Date,Repository,Source Citation,Item Title,Critic/Reporter,"Poet Name (Last, First Middle) [Alternate Name]",Poet Last Name,Poet Middle Names,Poet First Name,Mentioned Poets,Relative | Relationship to Poet,"Mentioned, Other | Profession",Poet Publication Details,Poet Pub Type,Publication Poet Mentioned In,Event Title,Event Date,Event Location,Event Type,Coordinates ,Excerpt,Commentary,Tags,Notes
Book Review,The Times Literary Supplement,1958-06-13,p. 332,"http://link.galegroup.com/
apps/doc/EX1200313524/GDCS?u=linc74325&sid=GDCS&xid=86bf808e",2019-07-01,Gale Primary Sources Database,"Wharton, Gordon, and Gordon Wharton. ""Poets from Abroad."" The Times Literary Supplement, 13
June 1958, p. 332. The Times Literary Supplement Historical Archive, http://link.galegroup.com/
apps/doc/EX1200313524/GDCS?u=linc74325&sid=GDCS&xid=86bf808e. Accessed 1 July
2019.",Poets from Abroad,,"Campbell, Roy
Currey, Ralph Nixon [R. N.]
Madge, Charles Henry
Plomer, William
Prince, Frank Templeton [F. T.]
Wright, David
Butler, Guy
Slater, Francis Carey [F. C.]
Delius, Anthony [Ronald St. Martin]
Cope, Jack [Robert Knox]","Campbell
Currey
Madge
Plomer
Prince
Wright
Butler
Slater
Delius
Cope","
Nixon


Templeton


Carey","Roy
Ralph [R. N.]
Charles
William
Frank [F. T.]
David
Guy
Francis
Anthony
Jack
",,,,"Poets in South Africa; an anthology, Ed. Roy MacNab. Cape Town, M. Miller, 1958. ",Anthology,,,,,,,"A short review of the collection Poets in South Africa. Author suggests that ""the insularity of the British"" is emphasized by this collection, as he doubts many would have heard of the poets in the collection. The author suggests that the poets in the collection ""are...a remarkably talented lot with, among them, a few who would be outstanding company, but who are largely unknown outside the Union."" ",,"criticism, review, collection",
Periodical Review,The Times Literary Supplement,1953-02-06,p. 94,"http://link.galegroup.com/apps/doc/
EX1200094173/GDCS?u=linc74325&sid=GDCS&xid=ea0dcb4c",2019-07-01,Gale Primary Sources Database,"Williams, Iolo Aneurin, et al. ""Current Periodicals."" The Times Literary Supplement, 6 Feb. 1953, p.
94. The Times Literary Supplement Historical Archive, http://link.galegroup.com/apps/doc/
EX1200094173/GDCS?u=linc74325&sid=GDCS&xid=ea0dcb4c. Accessed 1 July 2019.",Current Periodicals,,,,,,"Frost, Robert",,,"Du. Schweizerische Monatsschrift. Editor: Arnold Kubler. December, 1952.",Magazine,,,,,,,"Review of a German magazine: ""For readers who are neither Swiss or American, there is something almost incredible about the lavish production of this monthly magazine: founded during the last war, it positively radiates prosperity, of a kind which most of us associate with a past already remote... There are translations of African poetry, of a poem by Mr. Robert Frost and of a story from Mr. Henry Williamson's The Peregrine Saga.""",,magazine,Does not mention specific poet - consider finding primary source of magazine issue to see which African poems were translated/published.
Book Review,The Times Literary Supplement,1983-09-16,p. 996,"ttp://link.galegroup.com/apps/doc/EX1200442182/GDCS?u=
linc74325&sid=GDCS&xid=37c0ed96",2019-07-01,Gale Primary Sources Database,"Carlin, M. M. ""Scorning the sonnet."" The Times Literary Supplement, 16 Sept. 1983, p. 996. The Times Literary
Supplement Historical Archive, http://link.galegroup.com/apps/doc/EX1200442182/GDCS?u=
linc74325&sid=GDCS&xid=37c0ed96. Accessed 1 July 2019.",Scorning the Sonnet,"Carlin, M. M. ","Brutus, Dennis
Okigbo, Christopher
Peters, Lenrie
Clark, John Pepper [J. P.]
Liyong, Taban Lo
Awoonor, Kofi
Soyinka, Wole
Okara, Gabriel
P'Bitek, Okot
Kunene, Mazisi","Brutus
Okigbo
Peters
Clark
Liyong
Awoonor
Soyinka
Okara
p'Bitek
Kunene","


Pepper
lo","Dennis
Christopher
Lenrie
John
Taban
Kofi
Wole
Gabriel
Okot
Mazisi","Hopkins, Gerard Manley
Yeats, W. B.
Pound, Ezra
Eliot, T. S.
Thomas, Dylan",,"Carlin, M. M.|Critic"," Goodwin, Ken. Understanding African Poetry: A study of Ten Poets. Heinemann, 1982.",Anthology,,,,,,,"Carlin writes of Goodwin's collection: ""The strength of the book is not Ken Goodwin's criticism...but the arrangement and explication of these ten poets according to a scheme which forms a socio-cultural description of African poetry. In this respect, Professor Goodwin is enlightening and instructive, for he places his poets... roughly in the order of their Africanness, their independence of European models."" ",,"indigenous, aesthetic, collection, identity",
Advertisement,The Times Literary Supplement,1983-09-16,p. 996,"http://link.galegroup.com/apps/doc/EX1200442182/GDCS?u=
linc74325&sid=GDCS&xid=37c0ed96",2019-07-01,Gale Primary Sources Database,"Philip, David. ""Publishers are defined by their authors."" The Times Literary Supplement, 16 Sept. 1983, p. 996. The Times Literary
Supplement Historical Archive, http://link.galegroup.com/apps/doc/EX1200442182/GDCS?u=
linc74325&sid=GDCS&xid=37c0ed96. Accessed 1 July 2019.",Publishers are defined by their authors,,"Butler, Guy
Cope, Jack [Robert Knox]
Delius, Anthony [Ronald St. Martin]
Livingstone, Douglas
Mann, Chris
Soyinka, Wole","Butler
Cope
Delius
Livingstone
Mann
Soyinka
",,"Guy
Jack
Anthony
Douglas
Chris
Wole",,,,,,,,,,,,"An advertisement for David Philip, a publisher working with southern African poets and writers. He lists the authors he has published.",,"advertisement, publisher",
Announcement,The Times Literary Supplement,1917-06-21,p. 298,"http://link.galegroup.com/apps/doc/EX1200020886/GDCS?u=
linc74325&sid=GDCS&xid=bad9733f",2019-07-01,Gale Primary Sources Database,"""Notes."" The Times Literary Supplement, 21 June 1917, p. 298. The Times Literary Supplement
Historical Archive, http://link.galegroup.com/apps/doc/EX1200020886/GDCS?u=
linc74325&sid=GDCS&xid=bad9733f. Accessed 1 July 2019.",Notes,,,,,,,,,,,,,,,,,"Mr. B. H. Blackwell hopes to publish the following books: ...a new addition to South African poetry by a Lecturer in Philosophy at the University of Cape Town, who now holds a commission in the Machine-Gun Guards.",,"publisher, advertisement, collection",No specific poet mentioned - uncertain who the collection of poetry is written by.
Book Review,The Times Literary Supplement,1980-11-21,p. 1341,"http://link.galegroup.com/apps/doc/EX1200431452/GDCS?
u=linc74325&sid=GDCS&xid=b90198f7",2019-07-01,Gale Primary Sources Database,"Nkosi, Lewis. ""From veld-lovers to freedom fighters."" The Times Literary Supplement, 21 Nov. 1980, p. 1341. The
Times Literary Supplement Historical Archive, http://link.galegroup.com/apps/doc/EX1200431452/GDCS?
u=linc74325&sid=GDCS&xid=b90198f7. Accessed 1 July 2019.",From veld-lovers to freedom fighters,"Nkosi, Lewis ","Butler, Guy
Mann, Chris
Cope, Jack [Robert Knox]
Driver, C. J. [Jonty]
Aylen, Leo
Campbell, Roy
Plomer, William
Prince, Frank Templeton [F. T.]
Eglington, Charles
Livingstone, Douglas
Clouts, Sydney
Adams, Perseus [Peter Robert Charles]
Slater, Francis Carey [F. C.]
Currey, Ralph Nixon [R. N.]
Hamilton, William Robert [W. R.]
Kunene, Mazisi
Mtshali, Oswald Joseph
Serote, Mongane Wally
Gwala, Pascal
Sepamla, Sydney Sipho
Lewin, Hugh
Nortje, Arthur","Butler
Mann
Cope
Driver
Aylen
Campbell
Plomer
Prince
Eglington
Livingstone
Clouts
Adams
Slater
Currey
Hamilton
Kunene
Mtshali
Serote
Gwala
Sepamla
Lewin
Nortje
",,"Guy
Chris
Jack
C. J. [Jonty]
Leo
Roy
William
Frank Templeton [F. T.]
Charles
Douglas
Sydney
Perseus
Francis [F. C.]
Ralph [R. N.] 
William
Mazisi
Oswald
Morganne Wally
Pascal
Sipho
Hugh
Arthur
","Pringle, Thomas 
Drugmore, Henry Hare [H. H.]
Moodie, D. C. F. 
Selwyn, William 
McKuen, Rod ",,"Nkosi, Lewis|Critic",,,,Conference of the English Academy of Southern Africa at Rhodes University,1969,South Africa. Grahamstown.,Event|Professional,,"Lewis Nkosi reviews the collection of poetry by Guy Butler and Chris Mann. The collection features a multitude of African poets, and has been translated into English for those poets whose language is ""Afrikaans."" This tension is explored by Nkosi, who suggests, ""From the very beginning, English-speaking South Africans have struggled, sometimes fiercely, to forge a new identity out of this double sense of belonging."" Nkosi then mentions poets such as Kunene, Mtsbali, Serote, Gwala, and Sepamla as ""gathered into this poetic enclosure like Zimbabwean freedom fighters brought to makeshift assembly points."" ",,"review, criticism, collection, indigenous, identity",
Book Review,The Times Literary Supplement,1917-06-07,p. 265,"http://link.galegroup.com/apps/doc/EX1200020705/GDCS?u=
linc74325&sid=GDCS&xid=f05d1581",2019-07-01,Gale Primary Sources Database,"""B. H. BLACKWELL."" The Times Literary Supplement, 7 June 1917, p. 265. The Times Literary
Supplement Historical Archive, http://link.galegroup.com/apps/doc/EX1200020705/GDCS?u=
linc74325&sid=GDCS&xid=f05d1581. Accessed 1 July 2019.",B. H. Blackwell (Forthcoming),,"Hamilton, William Robert [W. R.]",Hamilton,,William Robert [W. R.],,,,"Hamilton, W. R. Modern Poems. B. H. Blackwell, 1917.",Single Author|Selected Works,,,,,,,"""A new addition to South African Poetry, by a Lecturer in Philosophy at the University of Cape Town, who now holds a commission in the Machine Gun Guards.""",,"advertisement, publisher",
Book Review,The Sunday Times,1971-06-27,p. 29 ,http://link.galegroup.com/apps/doc/FP1800573735/GDCS?u=linc74325&sid=GDCS&xid=c9f1af23,2019-07-01,Gale Primary Sources Database,"Connolly, Cyril. ""I remember it well."" Sunday Times, 27 June 1971, p. 29. The Sunday Times Digital Archive,
http://link.galegroup.com/apps/doc/FP1800573735/GDCS?u=linc74325&sid=GDCS&xid=c9f1af23.
Accessed 1 July 2019.",I remember it well,"Connolly, Cyril ","Wright, David",Wright,,David,"Campbell, Roy",,"Swift, Patrick|Artist
Connolly, Cyril|Critic","Wright, David and Patrick Swift. Lisbon: Portrait Guide by David Wright and Patrick Swift. Barrie & Jenkins, 1971.",Single Author|Selected Works,,,,,,,"Connolly's review of Lisbon by David Wright (poet) and Patrick Swift (painter/illustrator) suggests that the two ""collaborate well; Swift provides the expert knowledge and the pleasant drawings, Wright the tourist approach and general picture."" Lisbon is a guide-book on Portugal. ",,"painter, review, criticism, drawing, guidebook",
Book Review,The Times Literary Supplement,1990-05-18,p. 533,"http://link.galegroup.com/apps/doc/EX1200460361/GDCS?u=
linc74325&sid=GDCS&xid=51c0a06a",2019-07-01,Gale Primary Sources Database,"Foden, Giles. ""Different aesthetics."" The Times Literary Supplement, 18 May 1990, p. 533. The Times Literary
Supplement Historical Archive, http://link.galegroup.com/apps/doc/EX1200460361/GDCS?u=
linc74325&sid=GDCS&xid=51c0a06a. Accessed 1 July 2019.",Different aesthetics,"Foden, Giles ","Laing, Kojo",Laing,,Kojo,"Chipasula, Frank Mkalawile 
Senaye, Erasmus Elikplim Forster 
Mpina, Edison
Heaney, Seamus 
",,"Foden, Giles|Critic
Musaemura Zimunya|Editor
Peter Porter|Editor
Kofi Anyidoho|Editor
","Laing, Kojo. Godhorse. Heinemann, 1989.
 
Anyidoho, Kofi, Peter Porter and Musaemura Zimunya, eds. The Fate of Vultures: New poetry of Africa. Heinemann, 1989.","Single Author|Selected Works

Anthology",,BBC Arts and Africa Poetry Award,1988,United Kingdom. England. London.,Event|Professional,,"Giles Foden presents a review on two Heinemann publications, both featuring African poetry. Of the first, Godhorse, the first poetry collection by Kojo Laing, he writes ""The wit is characteristic, but every poem is different, perhaps the only common thread being the championing of sensory experience, especially in connection with religion. Laing handles surrealism well, and is capable of excellent passages."" Of The Fate of Vultures, Foden suggests that the anthology reflects the great depth of talent and vigour in modern African poetry. Foden quotes Seamus Heaney when he suggests that the poems in the collection 'have the potency of human testimony' and so are difficult to criticize. ",,"review, criticism, collection, religion, surrealism",
Book Review,The Times Literary Supplement,1964-07-16,p. 633,"http://link.galegroup.com/apps/doc/
EX1200333739/GDCS?u=linc74325&sid=GDCS&xid=beb6f496",2019-07-01,Gale Primary Sources Database,"Moore, Gerald Holyoake, et al. ""Haitian High Drama."" The Times Literary Supplement, 16 July 1964, p.
633. The Times Literary Supplement Historical Archive, http://link.galegroup.com/apps/doc/
EX1200333739/GDCS?u=linc74325&sid=GDCS&xid=beb6f496. Accessed 1 July 2019.",Haitian High Drama,"Moore, Gerald ","Diakhate, Lamine",Diakhate,,Lamine,,,"Moore, Gerald|Critic
Cesaire, Aime|Writer","Diakhate, Lamine. Primordiale du sixieme jour. Présence Africaine, Paris, 1963",Single Author|Selected Works,,,,,,,"Moore writes, ""Lamine Diakhate's poetry glows with good will and the right political sentiments; it is also something of a technical tour-de-force, for the writer has isolated the tendency of the language towards sonorous emptiness and caried it to the extremes... All the familiar properties of the negritude a la Senegal are here; the nostalgia of the exile, the Ancients with their gnomic wisdom, the long horizons, the rejection of life and the here-and-now in favour of the dim and distant. But the poet fails to handle them with the distinction or originality which alone could make the rehash excusable. A new vocabulary is in desperate need of the younger African poets now writing in French.""",,"negritude, identity, originality",
Book Review,The Times Literary Supplement,1990-05-18,p. 533,"http://link.galegroup.com/apps/doc/EX1200460359/GDCS?u=
linc74325&sid=GDCS&xid=7bea388b",2019-07-01,Gale Primary Sources Database,"Watson, Stephen. ""A garbled message."" The Times Literary Supplement, 18 May 1990, p. 533. The Times
Literary Supplement Historical Archive, http://link.galegroup.com/apps/doc/EX1200460359/GDCS?u=
linc74325&sid=GDCS&xid=7bea388b. Accessed 1 July 2019.",A garbled message,"Watson, Stephen","Breytenbach, Breyten
Campbell, Roy
Livingstone, Douglas
Cope, Jack [Robert Knox]
Horn, Peter Rudolph Gisela
Plaatje, Solomon Tshekisho
Mtshali, Oswald Joseph","Breytenbach
Campbell
Livingstone
Cope
Horn
Plaatje
Mtshali",,"Breyten
Roy
Douglas
Jack
Peter
Sol
Oswald",,,"Watson, Stephen|Critic
Schreiner, Olive|Writer","Gray, Steven, ed. The Penguin Book of Southern African Verse. Penguin, 1989. 

","Anthology



","Watts, Jane. Black Writers from South Africa: Towards a discourse of liberation. Macmillian, 1989.",,,,,,"Watson compares the two anthologies of African poetry, one compiled by Stephen Gray and the other Jane Watts. Of Penguin's anthology, he writes, ""No work to date so completely misrepresents the full spectrum of poetry from this part of the world, and seems so perversely designed to mislead readers who do not already have extensive independent knowledge of local political and cultural history... Gray claims that all nations of southern African belong to a single 'literary system' whose importance overrides any division of the area into separate nation-states."" Of Watts, Watson has a more positive opinion, in that Watts instead makes the ""essential point"" that the work of black writers in South Africa is ""very different from that of African writers elsewhere."" He then writes that, ""having presented these differences, [Jane Watts] is able to explain with admirable lucidity why black writing in this country has progressively assumed an identity all its own, and most particularly why it no longer conforms to Western aesthetic standards.""",,"review, criticism, indigenous, identity, aesthetic",
