Poet ID,"Poet Name (Last name, first name[Alternate])",Poet Gender,DOB (YYYY-MM-DD),DOD (YYYY-MM-DD),Poet Nationality (Country Name) ,Poet University Name,Poet University Place,Poet University Date Entered,Poet University Date Graduated,Poet University Degree,In CAP,Poet BIB,Poet  PUB,PUB TYPE,Short Bio,Notes,BIO INFO
BRU24RH,"Brutus, Dennis",M,1924-11-28,2009-12-26,South Africa.Colony of Southern Rhodesia,University of the Witwatersrand,South Africa. South Africa. Johannesburg. ,,1947,[unknown],,"Salutes and Censures (1985)
Stubborn Hope (1978)
Letter to Martha and Other Poems from a South African Prison (1969)
",,,"Dennis Brutus was a poet and anti-apartheid activist most known for his vocal opposition to South Africa's inclusion in the Olympics. Brutus protested the unfair and racist policies of the South African government in refusing to allow nonwhite athletes to participate in international competitions and called for the global community to boycott South Africa's participation. Brutus co-founded the organization SANROC (South African Non-Racial Olympics Committee) in 1962. Brutus was ""banned"" from South Africa and imprisoned once in 1963; he was barred from publishing in South Africa and lived in exile until 1990.

https://en.wikipedia.org/wiki/Dennis_Brutus","*Born in Colony of Southern Rhodesia, called South African poet","Accessed 10/25/2019

https://www.britannica.com/biography/Dennis-Brutus

https://www.poetryfoundation.org/poets/dennis-brutus

International Who's Who in Poetry 2004
By Europa Publications"
BUT18SA,"Butler, Guy",M,1918-01-21,2001-04-26,South Africa.South Africa,University of Oxford ,United Kingdom. England. Oxford.,,1947,[unknown],,"Stranger to Europe (1952)
South of the Zambezi
Selected Poems (1989)
Songs and Ballads (1978)
Oxford Book of South African Verse (1959)
Collected Poems (1999) ",,,"Guy Butler, born in South Africa in 1918,  worked as the head of the English department at Rhodes University in Grahamstown until 1978. Butler edited the magazine of contemporary poetry ""New Coin."" He was also a renowned playwright. 

https://www.britannica.com/biography/Guy-Butler",,"Accessed 10/25/2019

https://www.britannica.com/biography/Guy-Butler"
BYR##??,"Byron, Mary",F,[none],[none],South Africa.South Africa,[none],[none],,[none],[none],,The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club (1910),,,"Mary Byron was one of the women involved in the mixed-gender Veldsingers' Club in South Africa, a club of poetry enthusiasts in the region that published ""The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club."" ",bio information unknown. she is mentioned alongside the other Veldsingers' poets.,"Accessed 10/25/2019

https://books.google.com/books?id=nGfMAgAAQBAJ&pg=PA1660&lpg=PA1660&dq=alice+mabel+alder&source=bl&ots=JjOv5TvT7e&sig=ACfU3U2Va5LzY4DmHmYP6OnpRFq2MSx9-g&hl=en&sa=X&ved=2ahUKEwje0fmhpbXlAh"
CAM01SA,"Campbell, Roy",M,1901-10-2,1957-04-23,South Africa.South Africa,Univeristy of Natal,South Africa. South Africa. Natal.,,1954,honorary,,"The Flaming Terrapin (1924)
The Wayzgoose (1928) 
The Georgiad (1931) 
Adamastor (1930)
Flowering Reeds (1933)
Talking Bronco (1946) ",,,"Roy Campbell was born in South Africa in 1901; he first gained acclaim as a poet and writer following the publication of The Flaming Terrapin in 1924. Campbell edited the literary magazine ""Voorslag"" alongside poet William Plomer. Campbell fought in both the Spanish Civil War and World War II, and died in a car accident in Portugal in 1957.

https://www.poetryfoundation.org/poets/roy-campbell",,"Accessed 10/25/2019

https://www.britannica.com/biography/Roy-Campbell

https://legacy.lib.utexas.edu/taro/uthrc/00552/hrc-00552.html"
CEL65SA,"Celliers, Jan",M,1865-01-12,1940-06-01,South Africa.South Africa,[none],[none],,[none],"[none]
",,"Die Vlakte en ander gedigte (""The Plains and Other Poems"") (1908)",,,"Jan Celliers was born in 1865 in South Africa, where he would become an Afrikaans-language poet, essayist, dramatist and reviewer. Celliers, along with two other  Afrikaans-language poets (Totius and C. Louis Leipoldt) who wrote in the aftermath of the Second Boer War.  He is most known for his poetry collection ""The Plains and Other Poems,"" published 1908. He was a professor at Stellenbosch University from 1919 to 1940.

https://en.wikipedia.org/wiki/Jan_F._E._Celliers","Celliers was one of the three outstanding Afrikaans-language poets who wrote in the immediate wake of the Second Boer War; together with Totius and C. Louis Leipoldt, Celliers' youthful poetry writes of the devastation of the war in the youthful language of Afrikaans. His best poems appear in the 1908 collection Die Vlakte en ander gedigte (""The Plains and Other Poems). ","Accessed 10/25/2019

Bibliography information from Wikipedia; biographical information here: 
https://www.sahistory.org.za/people/jan-celliers"
CHI49MA,"Chipasula, Frank",M,1949-10-16,Alive,East Africa.Republic of Malawi,"University of Zambia
Yale University
Brown Univeristy","East Africa. Zambia. Lusaka. 
North America. USA. New Haven, CT.
North America. USA. Providence, RI.",,"1976
1982
1987","BA
MA
PhD
",,"Visions and Reflections (1972)
O Earth, Wait for Me (1984)
Whispers in the Wings: New and Selected Poems (2001)",,,"Frank Chipasula, born in 1949, was the first Malawian writer to have a poetry book published in English (""Visions and Reflections,"" 1972). In 1978 Chipasula went into exile and moved to the United States, where he would receive a PhD from Brown University in 1987 and work as a professor at the University of Nebraska at Omaha and Southern Illinois University. 

https://www.poetryfoundation.org/poets/frank-chipasula",,"Accessed 10/25/2019

https://www.poetryfoundation.org/poets/frank-chipasula

https://cola.siu.edu/africanastudies/faculty-staff/faculty/chipasula.php"
CLA35NI,"Clark, John Pepper [J. P.]",M,1935-04-06,Alive,West Africa.Nigeria,"University of Ibadan
Princeton University (Institute of African Studies fellowship) ","West Africa. Nigeria. Ibadan.
North America. USA. Princeton, NJ.",,"1960
[unknown]",[unknown],,"Poems (1962)
A Reed in the Tide: A Selection of Poems (1965)
Casualties: Poems 1966–68 (1970)
Urhobo Poetry (1980)
A Decade of Tongues: Selected Poems 1958–1968 (1981)
State of the Union (as J.P. Clark Bekederemo) (1985)
A Lot from Paradise (as J.P. Clark) (1999)",,,"Born in 1935 in Nigeria, John Pepper Clark is a celebrated Nigerian poet, journalist, playwright, and scholar. Clark founded ""The Horn,"" a student literary journal at University of Ibadan that many other African poets would come to publish in. He later would come to be the co-editor of another literary journal, ""Black Orpheus."" Clark's poetry often reveres the landscape of Africa. 

https://www.britannica.com/biography/John-Pepper-Clark",Began the student poetry magazine The Horn while at University of Ibadan.,"Accessed 10/25/2019

https://www.encyclopedia.com/arts/culture-magazines/clark-john-pepper

https://www.britannica.com/biography/John-Pepper-Clark"
CLO26SA,"Clouts, Sydney",M,1926,1982,South Africa.South Africa,"University of Cape Town
Rhodes University","South Africa. South Africa. Cape Town.
South Africa. South Africa. Grahamstown.",,"1950
[none]","[unknown]
[unknown]",,"One Life (1966)
Sydney Clouts: Collected Poems (1984)",,,"Sydney Clouts was born in 1926 in South Africa, though he would spend the majority of his lifetime in exile in England. In 1966, Clouts published his only poetry collection, ""One Life,"" which would go on to receive the Ingrid Jonker Prize in 1968 and the Olive Schreiner Prize for English Literature. 

https://dryadpress.co.za/featured-poets/sydney-clouts/",,"Accessed 10/25/2019

https://dryadpress.co.za/sydney-clouts/"
COE40SA,"Coetzee, John Maxwell",M,1940-02-09,Alive,South Africa.South Africa,"University of Cape Town
University of Texas, Austin","South Africa. South Africa. Cape Town.
North America. USA. Austin, TX.",,"1960
1972","[unknown]
[unknown]",,[none],,,"John Maxwell Coetzee was born in Cape Town, South Africa in 1940. Though an opponent of apartheid, Coetzee returned to South Africa after receiving his PhD at the University of Texas in 1969. Coetzee wrote frequently on the effects of colonization; he was awarded the Nobel Prize for Literature in 2003.

https://www.britannica.com/biography/J-M-Coetzee",Could not find evidence he actually has ever produced a poem; potentially delete.,"Accessed 10/25/2019

https://www.sahistory.org.za/people/john-maxwell-coetzee"
COP13SA,"Cope, Jack [Robert Knox]",M,1913-06-03,1991-05-01,South Africa.South Africa,[none],[none],,[none],[none],,[three poetry collections; can't find the titles/publication dates],,,"Born in South Africa in 1913, Jack Cope was a journalist and political correspondent in London for South African newspapers. After the outbreak of World War II, Cope returned to South Africa, and for twenty years, he edited the bilingual literary magazine ""Contrast."" Cope published three collections of poetry, one in collaboration with fellow African poet C. J. Driver. He was known for his romantic relationship with Afrikaans poet Ingrid Jonker.

https://en.wikipedia.org/wiki/Jack_Cope",Famous for his short stories and novels. Relationship with Ingrid Jonker.,"Accessed 10/25/2019

https://www.britannica.com/biography/Jack-Cope"
COU42SA,"Couzyn, Jeni",F,1942-07-26,Alive,South Africa.South Africa,University of Natal,South Africa. South Africa.,,1963,[unknown],,"Flying (1970)
Monkeys' Wedding (1972) 
House of Changes (1978)
The Happiness Bird (1978)
A Time to Be Born (1981)
Life by Drowning: Selected Poems (1983) 
In the Skin House (1993)
Christmas in Africa (1975)
",,,"Born 1942, Jeni Couzyn is a feminist poet from South Africa, relocated to the United Kingdom and Canada. Her poetry considers and challenges the conception of womanhood, motherhood, and pregnancy. 

https://en.wikipedia.org/wiki/Jeni_Couzyn",,"Accessed 10/26/2019

https://www.encyclopedia.com/arts/culture-magazines/couzyn-jeni"
CRI69GB,"Cripps, Arthur Shearley",M,1869-06-10,1952-08-01,United Kingdom.England,"Trinity College
Trinity College
Cuddesdon Theological College ","United Kingdom. England. Oxford.
United Kingdom. England. Oxford.
United Kingdom. England. Oxford.
",,"1891
1897
1893","BA
MA
[Unknown]
",,"Titania and Other Poems (1900)
Jonathan: A Song of David (1902)
Magic Casements (1905)
Lyra Evangelistica: Missionary Verses of Mashonaland (1909)
Faerylands Forlorn: African Tales (1910)
The Two of Them Together (1910)
Pilgrimage of Grace: Verses on a Mission (1912)
Pilgrims Joy: Verses (1916)
Lake and War: African Land and Water Verses (1917)
An Africa For the Africans (1927)
Africa: Verses (1939)

",,,"Arthur Shearly Cripps, an Anglican priest, activist, and poet, was born in England in 1869, though he relocated to what is now Zimbabweand in the early 1900s to become a missionary. Cripps worked with Africans against the British South Africa Company's land distribution regulations. He published ""An Africa for the Africans"" in 1927 as part of this activism. 

https://en.wikipedia.org/wiki/Arthur_Shearly_Cripps","Born in England, spent most of his life in Southern Rhodesia.","Accessed 10/26/2019

http://www.poetry-archive.com/c/cripps_arthur_shearly_bibliography.html

http://masvingo.anglican.org/arthur-shearly-cripps/

https://books.google.com/books?id=2TSOpxKysqMC&pg=PA143&lpg=PA143&dq=Cripps,+Arthur+Shearly+trinity+college&source=bl&ots=0i19KCfqJB&sig=ACfU3U2rRfz95m1S40BEUhCcB7Nxr5-eHQ&hl=en&sa=X&ved=2ahUKEwjtv5jG7vDnAhXIna0KHV7cBxUQ6AEwCHoECBkQAQ#v=onepage&q=Cripps%2C%20Arthur%20Shearly%20trinity%20college&f=false"
CUL33SA,"Cullinan, Patrick",M,1933-05-25,2011-04-14,South Africa.South Africa,Magdalen College Oxford,"United Kingdom. England. Oxford.
",,1953,[unknown],,"The Horizon Forty Miles Away (1963)
Today is not Different (1978)
The White Hail in the Orchard (1984)
I Sing Where I Stand: Versions from the Afrikaans of Phil du Plessis: Poesie 1892-1984 (1985)
Selected Poems, 1961-1991 (1992)
Selected Poems, 1961-1994 (1994)
Mantis Poets: Guy Butler/Patrick Cullinan (1998)
Transformations (1999)
Escarpments (Poems 1973 - 2007) (2008)",,,"Patrick Cullinan, born in 1932, spent the majority of his adult life in South Africa, though he struggled with his identity as a South African due to his childhood spent in England. Cullinan, alongside Lionel Abrahams, founded ""The Bateleur Press"" in 1974 and later the literary journal ""The Bloody Hourse"" in 1980. Cullinan was a renown poet, winning awards such as the Slug Award, the Olive Schreiner Prize, three Pringle Awards, the Sanlam Literary Award and the Merit Award.  

https://en.wikipedia.org/wiki/Patrick_Cullinan","With Lionel Abrahams, he founded the Bateleur Press in 1974, and the literary journal The Bloody Horse: Writings and the Arts in 1980. Through the journal (the title taken from a poem by Roy Campbell) Cullinan sought to re-establish the standing of poetry in South Africa. Influences included John Betjeman, W. B. Yeats, Eugenio Montale, Rimbaud, and Dante.

Cullinan maintained close contact with other poets writing in South Africa, notably Gus Ferguson. Before their deaths, he was a friend and fellow writer to Lionel Abrahams, Guy Butler, Douglas Livingstone and Stephen Watson. 


","Accessed 10/26/2019

https://en.wikipedia.org/wiki/Patrick_Cullinan

https://www.artprintsa.com/Patrick-Cullinan-Selected-Poems.html"
CUR07SA,"Currey, Ralph Nixon [R. N.]
",M,1907-12-14,2001-11-18,South Africa.South Africa,Wadham College,"United Kingdom. England. Oxford.
",,1930,[unknown],,"Tiresias and Other Poems (1940)
This Other Planet (1945)
Indian Landscape: A Book of Descriptive Poems (1947)
The Africa We Knew (1973)
Collected Poems and Translations (forthcoming)",,,"Born in Mafeking, South Africa in 1907, Ralph Nixon Currey was born and educated in South Africa until leaving for England for higher education. Currey was part of the British Royal Army in World War II and was respected for his war poetry. He was awarded the Viceroy's prize in 1945 and the South African poetry prize in 1959.

https://www.encyclopedia.com/arts/culture-magazines/currey-ralph-nixon",,"Accessed 10/26/2019

https://www.encyclopedia.com/arts/culture-magazines/currey-ralph-nixon"
DAD16CI,"Dadie, Bernard",M,1916-01-10,2019-03-09,West Africa.Ivory Coast,Ecole Normale William-Ponty,West Africa. Senegal. Kolda.,,1936,[unknown],,"Afrique debout (1950)
Légendes africaines (1954)
Le pagne noir (1955)
La ronde des jours (1956)
Climbié (1956)
Un Nègre à Paris (1959)
Patron de New York (1964)
Hommes de tous les continents (1967)
La ville où nul ne meurt (1969)
Monsieur Thôgô-Gnini (1970)
Les voix dans le vent (1970)
Béatrice du Congo (1970)
Îles de tempête (1973)
Papassidi maître-escroc (1975)
Mhoi cheul (1979)
Opinions d'un nègre (1979)
Les belles histoires de Kacou Ananzè
Commandant Taureault et ses nègres (1980)
Les jambes du fils de Dieu (1980)
Carnets de prison (1981) – details his time in prison
Les contes de Koutou-as-Samala (1982)",,,"Bernard Dadie was born in 1916 in the Côte d'Ivoire. He became heavily involved in the fight for independence from France; he was detained for demonstrations against the colonial government for sixteen months. His personal experiences with colonialism influenced his writing.

https://en.wikipedia.org/wiki/Bernard_Binlin_Dadi%C3%A9","A playwright and poet, most notably a playwright.","Accessed 10/26/2019

https://www.britannica.com/biography/Bernard-Binlin-Dadie"
DAV##??,"Davis, Philip Rufus",M,[none],[none],[none],[none],[none],,[none],[none],,The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club (1910),,,"Philip Rufus David was one of the men involved in the mixed-gender Veldsingers' Club in South Africa, a club of poetry enthusiasts in the region that published ""The Veldsingers' Club: A Compilation of the Works of Members of the Veldsingers Club."" ",Biographical information unknown. Part of the South African Veldsingers' Club.,
DEL16SA,"Delius, Anthony [Ronald St. Martin]",M,1916-06-11,1989,South Africa.South Africa,Rhodes University,South Africa. South Africa. Grahamstown. ,,1938,"[unknown]
",,"An Unknown Border (1954)
The Last Division (1959)
A Corner of the World: Thirty-Four Poems (1962)
Black South-Easter (1966)",,,"Anthony Delius was a South African journalist, political correspondent, and poet who co-founded the Saturday Post in 1947. He was a co-editor of ""Standpunte,"" the South African literary journal.  He was awarded the South African poetry prize in 1960 and the CNA Literary Award in 1977.

https://www.encyclopedia.com/arts/culture-magazines/delius-anthony-ronald-st-martin","Co-founder, 1947, and editor and political correspondent, Port Elizabeth Saturday Post (later Evening Post); parliamentary correspondent, Cape Times, Cape Town, 1951–54 and 1958–67. ","Accessed 10/29/2019

https://www.encyclopedia.com/arts/culture-magazines/delius-anthony-ronald-st-martin"
DIA28SE,"Diakhate, Lamine",M,1928-09-16,1987,West Africa.Senegal,École Normale de Katibougou,West Africa. Mali. Katibougou.,,[none],[unknown],,"La joie d’un Continent (1954)
Pour la Jeune Fille de Soie Noire (1955)
Primordiale du Sixième Jour (1963)
Temps de Mémoire (1967)
Nigérianes (1974)
Terres Médianes (1984)",,,"Lamine Diakhate, born in 1928, was a leading politician, diplomat, and poet who became a leading figure in the négritude school of literary theory. He worked with figures such as Leopold Senghor,  Aimé Césaire, and Léon-Gontran Damas, and became Chief of the Presidential Cabinet of President Senghor in Senegal, as well as Minister of Information, Telecommunication, and Tourism. He was awarded the Prix Edgar Poe in 1971, granted to him by the Maison de la Poésie in Paris, and the Grand Prix Littéraire de l’Afrique Noire in 1979.

https://en.wikipedia.org/wiki/Lamine_Diakhate","As a black African author and poet writing in French, Diakhate was one of the leading figures of the Négritude school. ","Accessed 10/29/2019

https://www.oxfordreference.com/view/10.1093/acref/9780198661252.001.0001/acref-9780198661252-e-1361

https://en.wikipedia.org/wiki/Lamine_Diakhate"
